School_ID,SCHOOL NAME,City,State,Zip,Phone,Student_Count_Total,Student_Count_Low_Income,Student_Count_English_Learners,Dress_Code,College_Enrollment_Rate_School,Graduation_Rate_School,Overall_Rating,Transportation_Bus,Transportation_El,Transportation_AmTrack,School_Hours
E00254,LMU - LOYOLA LAW SCHOOL,LOS ANGELES,CA,90015,7738621449,631,540,56,Y,84.7,92.8,Level 1+,"9, 56, 70",,,8:40 AM-4:00 PM
E00341,STANFORD UNIVERSITY - STANFORD LAW SCHOO,STANFORD,CA,94305,7738261137,185,179,2,N,12.5,,Level 2+,,,,
E00374,UNIV OF CALIFORNIA LOS ANG SCH MED,LOS ANGELES,CA,90095,7734346300,264,233,23,N,18.8,0,Level 2,,,,
E00375,UNIV OF CALIFORNIA LOS ANG DENTAL,LOS ANGELES,CA,90095,7735353669,196,64,0,N,,,Level 1+,"29, 87",Red,,7:45 AM-2:45 PM
E00480,WHITTIER COLLEGE - COLLEGE OF LAW,COSTA MESA,CA,92626,7736972216,194,135,1,N,80,,Level 1+,"49, 77, 52",,,8:00 am-3:30 pm
E00554,ANTIOCH UNIV/LOS ANGELES,CULVER CITY,CA,90230,7735352590,248,90,1,Y,,,Level 1+,"48, 49A, 95W",,Rock Island District (RI),07:45 AM-02:45 PM
E00556,ANTIOCH UNIV/SANTA BARBARA,SANTA BARBARA,CA,93101,7735352565,315,280,6,Y,,,Level 1+,"8A, 108",Red,,08:45 AM-03:45 PM
E00727,INSTITUTE FOR BUSINESS & TECHNOLOGY - NA,RANCHO CORDOVA,CA,95670,7735355720,259,183,0,Y,,,Level 2+,"95W, 108, 112, 352, 381",Red,,07:45 AM-02:45 PM
E00914,PLATT COLLEGE,ONTARIO,CA,91764,7738260370,427,414,5,Y,,,Level 2+,,,,8:25 am-4:00 pm
E00959,PLATT COLLEGE - ANAHEIM,ANAHEIM,CA,92806,7735352636,240,48,4,N,,,Level 1+,52A,Orange,,07:45 AM-02:45 PM
E00961,TRINITY INTERNATIONAL UNIV-CA,SANTA ANA,CA,92705,7735356416,248,180,7,Y,,,Level 1,"5, 28, X28, 95E",Red,,08:15 AM-03:15 PM
E01182,KAPLAN COLLEGE - PALM SPRINGS,PALM SPRINGS,CA,92262,7736511221,198,186,1,Y,,,Level 1,,,,8:15 am-3:30 pm
E01191,KAPLAN COLLEGE - BAKERSFIELD,BAKERSFIELD,CA,93304,7735354225,406,382,48,Y,58.5,94.2,Level 1+,"53, 53A, 54, 82",,,8:00 am-3:15 pm
E01197,KAPLAN COLLEGE - FRESNO,CLOVIS,CA,93612,7735340034,974,304,6,N,87.7,95.3,Level 1+,"11, 36, 70","Brown, Red",,8:00 AM - 3:30 PM
E01285,KAPLAN COLLEGE - RIVERSIDE,RIVERSIDE,CA,92507,7735341789,144,140,32,Y,,,Level 2,,,,08:30 AM-03:30 PM
E01713,CAREER CARE INSTITUTE - VENTURA,VENTURA,CA,93001,7735349750,291,271,12,Y,44.8,85.4,Level 1,"1, 3, 4, 35","Green, Red",Rock Island District (RI),7:30 am-3:05 pm
E01826,UNITED EDUCATION INSTITUTE - ONTARIO,ONTARIO,CA,91764,7735793470,622,562,259,Y,,,Level 1+,,,,8:00 AM-3:30 PM
E01827,UNITED EDUCATION INSTITUTE - ENCINO,ENCINO,CA,91316,7735346602,350,343,0,Y,,,Level 2+,"7, 52",Blue,,08:00 AM-03:00 PM
E01841,KAPLAN COLLEGE - CHULA VISTA,CHULA VISTA,CA,91910,7733942848,996,941,91,Y,85.7,90.3,Level 1+,"53, 72, 73",Brown,,
E01882,EVEREST COLLEGE - SANTA ANA,SANTA ANA,CA,92701,7735353975,257,218,14,Y,,,Level 1+,119,Red,,07:45 AM-02:45 PM
E01886,UNITED EDUCATION INSTITUTE - CHULA VISTA,CHULA VISTA,CA,91910,7735348510,357,140,12,N,,,Level 1,"11, 156","Brown, Purple",,8:15-3:15
E01887,UNITED EDUCATION INSTITUTE - EL MONTE,EL MONTE,CA,91731,3124454680,937,790,61,Y,88.4,86.4,Level 1+,"3, 4, 20, 22, 24, 26, 36, 62, 66, 143, 145, 147, 148, 151",,,8:00 AM-4:12 PM
E01888,UNITED EDUCATION INSTITUTE - ANAHEIM,ANAHEIM,CA,92801,7732916517,117,110,1,N,39.3,,Level 1,,,,
E01928,UNITED EDUCATION INSTITUTE - UEI COLLEGE,SAN MARCOS,CA,92069,7735343954,1070,415,6,N,93.4,97.8,Level 1+,"82, 92",,,8:00 AM-3:15 PM
E01947,CAREER CARE INSTITUTE - MORENO VALLEY,MORENO VALLEY,CA,92553,7735342591,797,661,385,Y,,,Level 1+,"92, 93","Blue, Brown, Purple, Red",,08:15 AM-03:15 PM
E01977,UEI COLLEGE-RIVERSIDE,RIVERSIDE,CA,92507,7735354334,336,329,66,Y,57.8,77.9,Level 1,"53, 53A, 82",Pink,BNSF Railway (BNSF),8:00 am-3:15 pm
E02024,MEDIATECH INSTITUTE - OCEANSIDE,OCEANSIDE,CA,92054,7735358351,587,493,4,Y,64.2,71,Level 1,"J14, 15, 75",Red,,9:00 AM - 4:30 PM
E02028,UNITED EDUCATION INSTITUTE - UEI COLLEGE,STOCKTON,CA,95207,7732799826,555,512,247,Y,,,Level 1,,,,8:00 am-3:00 pm
E02077,WESTMED COLLEGE - MERCED,MERCED,CA,95340,3128351863,568,531,9,Y,,,Level 1+,,,,
E02091,NCP COLLEGE OF NURSING - HAYWARD CAMPUS,HAYWARD,CA,94541,7735346925,319,248,0,Y,,,Level 1,"7, 53",Blue,,08:30AM-03-30PM
E02113,PAUL MITCHELL THE SCHOOL-COSTA MESA,COSTA MESA,CA,92626,7735354300,297,288,65,Y,56.6,87.5,Level 1,"53, 53A, 54B",,,8:00 am-3:15 pm
E02116,PAUL MITCHELL THE SCHOOL - SAN DIEGO,SAN DIEGO,CA,92101,7735346400,1146,906,16,N,76.7,97.6,Level 1+,"52, 82",Green,Union Pacific West (UP-W),8:00 AM-3:15 PM
E02133,PLATT COLLEGE - RIVERSIDE,RIVERSIDE,CA,92507,7736266988,107,106,0,N,14.9,,Level 1+,,,,
E02208,ADVANCE BEAUTY COLLEGE - LAGUNA HILLS,LAGUNA HILLS,CA,92653,7735351590,325,287,6,Y,61.5,86.1,Level 1,"24, 35, 39, 44","Green, Red",Rock Island District (RI),07:30 AM-03:00 PM
E40398,HUSSIAN SCHOOL OF ART-RELATIVITY CAMPUS,LOS ANGELES,CA,90017,3124555425,572,520,236,N,,,Level 2+,,,,
E40424,UEI COLLEGE - BAKERSFIELD,BAKERSFIELD,CA,93308,7735350585,515,277,15,N,,,Level 1,"55, 172",Green,Metra Electric District (ME),8:45 AM - 3:45 PM
G01120,AMER BAPT SEM OF THE WEST-BERKELEY,BERKELEY,CA,94704,7735359025,202,198,2,Y,,,Level 2,"8, 44, 55",Orange,,07:45 AM-02:45 PM
G01165,CHURCH DIV SCH OF THE PACIFIC,BERKELEY,CA,94709,7739455025,518,472,0,Y,,,Level 1,,,,8:00 am-3:30 pm
G01169,CLAREMONT GRADUATE UNIVERSITY,CLAREMONT,CA,91711,7735347599,1124,991,95,Y,84.4,71.5,Level 1+,"20, 50, 126",Green,,7:30 AM-3:30 PM
G01200,FULLER THEOLOGICAL SEMINARY,PASADENA,CA,91182,7733212200,573,551,330,Y,,,Level 1,,,,8:00 am-4:00 pm
G01207,GRADUATE THEOLOGICAL UNION,BERKELEY,CA,94709,7732855301,542,441,5,Y,,,Level 2+,"4, 39",,,8:00 AM-3:30 PM
G01256,PACIFIC SCHOOL OF RELIGION,BERKELEY,CA,94709,7735345800,609,509,154,Y,,,Level 1+,"36, 151",Red,,9:00 AM-4:00 PM
G01279,SAN FRANCISCO THEOLOGICAL SEMINARY,SAN ANSELMO,CA,94960,7735341997,147,142,36,Y,47.2,91.2,Level 2+,"21, 94",,,8:45 am-4:00 pm
G01288,CLAREMONT SCHOOL OF THEOLOGY,CLAREMONT,CA,91711,7735885007,259,222,27,N,16.7,,Level 2+,,,,
G01295,SOUTHWESTERN LAW SCHOOL,LOS ANGELES,CA,90010,7736511500,185,181,0,N,19.4,,Level 2,,,,
G03947,UC-HASTINGS COLLEGE OF THE LAW,SAN FRANCISCO,CA,94102,7739211315,214,206,0,N,8.9,,Level 1,,,,
G04080,STARR KING SCHOOL FOR THE MINISTRY,BERKELEY,CA,94709,7735356235,208,203,0,Y,,,Level 2+,"5, 95E, 100",Red,Metra Electric District (ME),08:45 AM-03:45 PM
G06976,UNIVERSITY OF SAN DIEGO - SCHOOL OF LAW,SAN DIEGO,CA,92110,7735346125,323,319,4,Y,,,Level 1,"54, 66",,,8:00 AM-3:00 PM
G08846,WRIGHT INSTITUTE,BERKELEY,CA,94704,7734172045,10,10,0,N,,,Level 2+,,,,
G10013,ALLIANT INTERNATIONAL UNIVERSITY - LOS A,ALHAMBRA,CA,91803,7735343470,587,167,99,Y,,,Level 1+,"54A, 84",Blue,,08:00 AM-03:00 PM
G10333,JESUIT SCHOOL OF THEOLOGY - BERKELEY,BERKELEY,CA,94709,7735844300,345,319,5,N,,,Level 2,,,,
G10441,PARDEE RAND GRADUATE SCHOOL,SANTA MONICA,CA,90407,7735352560,519,234,8,Y,,,Level 1,"49A, 112",Red,,07:45 AM-02:45 PM
G11792,FRANCISCAN SCHOOL OF THEOLOGY,OCEANSIDE,CA,92057,7735352690,291,198,0,Y,,,Level 1,"9, 95W, 381, 385",,Rock Island District (RI),07:30 AM-02:30 PM
G11881,ALLIANT INTERNATIONAL UNIVERSITY - SAN F,SAN FRANCISCO,CA,94133,7735359724,321,281,1,Y,67.1,71.3,Level 2+,"24, 63",Red,,8:30 AM-4:30 PM
G13103,CALIFORNIA WESTERN SCHOOL OF LAW,SAN DIEGO,CA,92101,3124555446,622,594,156,N,,,Level 2+,,,,
G20961,FIELDING GRADUATE UNIVERSITY,SANTA BARBARA,CA,93105,3124555434,576,555,304,N,,,Level 1,,,,
G21206,SAYBROOK GRADUATE SCHOOL,SAN FRANCISCO,CA,94111,3122257400,392,331,10,Y,81.6,85.7,Level 1,"21, 24, 29, 62",Red,,
G22220,AMERICAN FILM INSTITUTE,LOS ANGELES,CA,90027,7739227542,269,249,129,N,,,Level 1,,,,
G22249,STANFORD UNIVERSITY - GRADUATE SCHOOL OF,STANFORD,CA,94305,7735349710,603,323,5,N,79.6,81.1,Level 1+,"66, 70, 52, 49","Blue, Red",,8:00 AM-5:00 PM
G22372,PHILLIPS GRADUATE INSTITUTE,CHATSWORTH,CA,91311,7735345490,709,371,226,N,,,Level 1+,,,,9:00 am-4:00 pm
G22676,INSTITUTE OF TRANSPERSONAL PSYCHLGY,PALO ALTO,CA,94303,7739788680,333,333,0,N,7.4,,Level 1+,,,,
G22768,WESTMINSTER SEMINARY CALIFORNIA,ESCONDIDO,CA,92027,7734133090,432,417,1,Y,,,Level 2,,Green,,8:00 am-3:30 pm
G24552,STANFORD UNIVERSITY - SCHOOL OF MEDICINE,STANFORD,CA,94305,7735347812,70,70,3,N,,21.4,Level 2,,Pink,,8:00 AM - 3:05 PM
G25111,ALLIANT INTERNATIONAL UNIVERSITY - FRESN,FRESNO,CA,93727,7739022487,17,17,0,N,,,Level 1,,,,9:00 AM - 4:00 PM
G31268,PACIFICA GRADUATE INSTITUTE,CARPINTERIA,CA,93013,7735352715,463,448,1,Y,,,Level 1,"111, 112",Red,,07:45 AM-02:45 PM
G32883,ACAD CHINESE CULTURE & HEALTH SCIS,OAKLAND,CA,94512,7735354945,235,199,59,Y,47.4,71.7,Level 2,"9, 51, 47","Green, Red",,7:30 AM - 4:30 PM
G35924,IRELL & MANELLA GRADUATE SCHOOL OF BIOLO,DUARTE,CA,91010,7735355672,174,142,0,Y,,,Level 2+,,,,08:15 AM-03:15 PM
G38533,KECK GRADUATE INSTITUTE OF APPLIED LIFE,CLAREMONT,CA,91711,7735353350,326,321,1,Y,,,Level 1+,"8A, 24, 87",Red,Rock Island District (RI),08:45 AM-03:45 PM
G41004,TAFT UNIVERSITY SYSTEM (THE),SANTA ANA,CA,92704,7735350551,242,239,7,Y,,,Level 2,"28, X28, 30, 75",Red,Metra Electric District (ME),07:45 AM-02:45 PM
G41555,"ACADEMY FOR JEWISH RELIGION, CALIFORNIA",LOS ANGELES,CA,90024,7735357021,250,250,13,N,5.1,1.7,Inability to Rate,,,,7:00 am - 4:00 pm
G42174,HIGH TECH HIGH GRADUATE SCHOOL OF EDUCAT,SAN DIEGO,CA,92106,7735352575,367,333,1,Y,,,Level 1+,"95W, 112",Red,Rock Island District (RI),08:45 AM-03:45 PM
1111,ALLAN HANCOCK COLLEGE,SANTA MARIA,CA,93454,7735347300,459,158,41,Y,,,Level 1+,,,,7:45 AM - 2:45 PM
1113,ANTELOPE VALLEY COLLEGE,LANCASTER,CA,93536,7735355115,371,357,0,Y,34.4,62.6,Level 2,34106111,Red,Metra Electric District (ME),7:50 am-3:05 pm
1116,ART CENTER COLLEGE OF DESIGN,PASADENA,CA,91103,3129499400,245,226,0,Y,61.4,66.7,Level 2+,"1, 3, 4, 21",Red,Metra Electric District (ME),8:00 AM -3:10 PM
1117,AZUSA PACIFIC UNIVERSITY,AZUSA,CA,91702,7739280480,418,391,105,Y,,,Level 2+,,,,8:00 am-3:30 pm
1118,BAKERSFIELD COLLEGE,BAKERSFIELD,CA,93305,3126839695,269,246,1,N,,,Inability to Rate,,,,
1119,BARSTOW COMMUNITY COLLEGE,BARSTOW,CA,92311,7735347130,519,420,205,Y,,,Level 1+,"50, 65, 66",Orange,,07:45 AM-02:45 PM
1122,BIOLA UNIVERSITY,LA MIRADA,CA,90639,7739388578,181,178,6,Y,,,Inability to Rate,,,,7:45am - 4:00pm
1124,CABRILLO COLLEGE,APTOS,CA,95003,7735353085,415,411,0,Y,,,Level 1,"3, 79",,,08:45 AM-03:45 PM
1125,CALIFORNIA BAPTIST UNIVERSITY,RIVERSIDE,CA,92504,7735355625,271,243,1,Y,,,Level 1,"8A, 108, 111",Red,,08:30 AM-03:30 PM
1127,CALIFORNIA COLLEGE OF THE ARTS,SAN FRANCISCO,CA,94107,7735352763,250,245,0,Y,,,Level 1,"8A, 103, 108",Red,Rock Island District (RI),08:00 AM-03:00 PM
1131,CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,91125,7735340146,540,435,38,N,80.4,85.4,Level 1,"85, 91, 152",,,08:00 AM-03:10 PM
1132,CALIFORNIA INSTITUTE OF THE ARTS,VALENCIA,CA,91355,7735359300,1288,851,16,N,83.6,89.2,Level 1+,"9, 48, 63",Green,,8:00 - 3:05pm
1133,CALIFORNIA LUTHERAN UNIVERSITY,THOUSAND OAKS,CA,91360,7732385330,1321,1207,10,Y,64.9,82.6,Level 2,"9, 95W",,Rock Island District (RI),8:00 AM-3:20 PM
1134,CALIFORNIA MARITIME ACADEMY,VALLEJO,CA,94590,7735351825,149,131,1,N,,,Inability to Rate,,,,
1137,CALIF STATE UNIV-FULLERTON,FULLERTON,CA,92831,7735350040,292,88,6,N,,,Level 1+,,,,7:45 am-2:45 pm
1138,"CALIFORNIA STATE UNIVERSITY, EAST BAY",HAYWARD,CA,94542,7737210858,495,450,7,Y,,,Level 1+,,,,7:45 AM-3:30 PM
1139,CALIF STATE UNIV-LONG BEACH,LONG BEACH,CA,90840,7737618960,593,536,71,Y,72,85.2,Level 1+,22,,Union Pacific North (UP-N),
1140,CALIF STATE UNIV-LOS ANGELES,LOS ANGELES,CA,90032,7733586800,472,430,4,Y,62.3,78.1,Level 1,"1, 29, 35",,,8:15 AM-3:45 PM
1141,"CALIF STATE UNIV, DOMINGUEZ HILLS",CARSON,CA,90747,7732786895,346,291,23,N,,,Level 1,,,,
1142,CALIF STATE UNIV SAN BERNARDINO,SAN BERNARDINO,CA,92407,7735348440,239,238,0,Y,,,Level 2+,"11, 70","Blue, Red",,08:30 AM-03:30 PM
1143,CAL POLY STATE UNIVERSITY,SAN LUIS OBISPO,CA,93407,7735355300,355,348,1,Y,,,Level 1+,"34, 111, 119",Red,,07:45 AM-02:45 PM
1144,CALIF STATE POLYTECHNIC UNIV POMONA,POMONA,CA,91768,7735353160,138,137,8,Y,44.8,71.4,Level 2,"8, 55, 59","Blue, Green",,8:00 AM-3:23 PM
1146,CALIF STATE UNIV - CHICO,CHICO,CA,95929,7733412260,11,11,0,Y,18.6,28.6,Inability to Rate,,,,8 am - 4:30 pm
1147,CALIF STATE UNIV - FRESNO,FRESNO,CA,93740,7739022487,19,19,0,N,,,Level 1,,,,
1149,HUMBOLDT STATE UNIVERSITY,ARCATA,CA,95521,7735351350,1766,1048,18,N,78.3,84.6,Level 1+,"2, 6, 15, 28, X28",Blue,Metra Electric District (ME),9:00 AM - 4:15 PM
1150,CALIF STATE UNIV-SACRAMENTO,SACRAMENTO,CA,95819,7735344135,780,560,150,Y,,,Level 1+,"56, 74",Blue,,07:45 AM-02:45 PM
1151,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,92182,7733586100,487,465,1,Y,53.2,75.2,Level 1,"44, 75",,,8:15 AM-3:45 PM
1153,CALIF STATE UNIV-NORTHRIDGE,NORTHRIDGE,CA,91330,7736905500,133,114,0,N,66.7,,Level 2+,,,,9:00 AM - 4:30 PM
1154,SAN FRANCISCO STATE UNIVERSITY,SAN FRANCISCO,CA,94132,7735345100,1714,1276,29,N,73.4,88.8,Level 1+,"81, 82, 92, 93",Brown,,7:30-2:55
1155,SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,95192,7735357860,510,430,34,Y,,,Level 1+,52A,,SouthWest Service (SWS),07:45 AM-02:45 PM
1156,SONOMA STATE UNIVERSITY,ROHNERT PARK,CA,94928,7735354600,979,968,458,Y,,,Level 1+,"9, 44, 47",Orange,,07:45 AM-03:45 PM
1157,CALIF STATE UNIV-STANISLAUS,TURLOCK,CA,95382,7735214399,874,837,11,Y,,,Level 1,,,,7:45 AM-4:00 PM
1161,CERRITOS COLLEGE,NORWALK,CA,90650,7735342045,623,309,92,Y,,,Level 1+,"49B, 84",Brown,,8:00 AM - 3:00 PM
1162,CHABOT COLLEGE,HAYWARD,CA,94545,7735357215,793,712,237,Y,,,Level 1,"62, 94",,,7:30 AM-2:30 PM
1163,CHAFFEY COLLEGE,RANCHO CUCAMONGA,CA,91737,7735346176,162,158,1,Y,20.7,56.3,Level 3,"66, 85",Green,,9:00 AM - 4:15 PM
1164,CHAPMAN UNIVERSITY,ORANGE,CA,92866,7735355517,259,228,0,Y,,,Level 1,"8A, 108",Red,,08:45 AM-03:45 PM
1166,CITRUS COLLEGE,GLENDORA,CA,91741,7735345180,218,173,65,N,0,3.1,Inability to Rate,,,,7:30 AM-2:45 PM
1170,CLAREMONT MCKENNA COLLEGE,CLAREMONT,CA,91711,7735351804,370,348,4,Y,,,Level 2,"3, 43","Green, Red",,08:45 AM-03:45 PM
1171,HARVEY MUDD COLLEGE,CLAREMONT,CA,91711,7732422212,527,487,27,Y,76.9,82.4,Level 2+,"53, 66, 82",,,8:30 AM-4:00 PM
1172,PITZER COLLEGE,CLAREMONT,CA,91711,7735354242,251,246,64,Y,41,80.9,Level 2+,"53, 53A, 54B, 82",,,8:00 am-3:15 pm
1173,POMONA COLLEGE,CLAREMONT,CA,91711,7735355460,332,316,1,Y,,,Level 1,"34, 103, 106, 119",,,8:45 AM-3:45 PM
1174,SCRIPPS COLLEGE,CLAREMONT,CA,91711,7735346730,262,246,0,Y,,,Level 1+,"7, 53",Blue,,08:45 AM-03:45 PM
1176,WEST HILLS COMMUNITY COLLEGE,COALINGA,CA,93210,7737159558,478,371,196,Y,,,Level 1,"9, 39",Orange,,"Mon.-Thurs. 8:30 AM-4:00 PM, Fri. 8:30 AM-1:30 PM"
1177,COGSWELL POLYTECHNICAL COLLEGE,SUNNYVALE,CA,94089,7737228577,474,391,41,Y,,,Level 2+,,,,
1178,COLLEGE OF MARIN,KENTFIELD,CA,94904,7734346355,285,271,162,Y,,,Level 1+,,,,8:00 am-3:00 pm
1179,NOTRE DAME DE NAMUR UNIVERSITY,BELMONT,CA,94002,3122659925,647,588,69,Y,80.5,81.7,Level 1+,"9, 65, 66",Green,,7:30 am - 4:30 am
1181,COLLEGE OF SAN MATEO,SAN MATEO,CA,94402,7738908020,752,741,145,Y,56.4,82.8,Level 1,"49, 60",,,8:00 AM-3:54 PM
B07022,THE CHICAGO SCHOOL OF PROF PSYCHOLOGY,CHICAGO,IL,60610,7735358110,443,434,26,Y,,,Level 1+,"49, 63",Orange,,8:00 AM-4:00 PM
E00377,UNIVERSITY OF CHICAGO GRADUATE,CHICAGO,IL,60637,7732520970,333,322,101,N,,,Level 1+,,,,
E00512,"UNIV OF CHICAGO, BOOTH SCH OF BUS",CHICAGO,IL,60637,7735348500,486,46,1,N,,,Level 1+,"8, 70",Red,,8:30 AM - 3:30 PM
E00606,SO IL UNIV-SCHL OF DENTAL MEDICINE,ALTON,IL,62002,7735345090,633,237,96,N,,,Level 1+,,Brown,,08:15 AM-03:15 PM
E00773,CHICAGO KENT COLLEGE OF LAW,CHICAGO,IL,60661,7738900055,31,30,3,N,18.2,,Level 2,,,,
E00784,EDUCATORS OF BEAUTY,ROCKFORD,IL,61104,7734298955,542,496,1,Y,,,Inability to Rate,,,,7:45 AM-3:15 PM
E00983,PACIFIC COLLEGE OF ORIENTAL MEDICINE - C,CHICAGO,IL,60601,7735346225,251,226,37,Y,,,Level 2+,"12, 91",Blue,,08:30 AM-03:30 PM
E01240,HAIR PROFESSIONALS ACADEMY OF COSMETOLOG,NAPERVILLE,IL,60563,7735346660,446,427,2,Y,,,Level 1,"7, 82, 126",Blue,,08:45 AM-03:45 PM
E01244,RASMUSSEN COLLEGE - ROCKFORD,ROCKFORD,IL,61108,7735350880,717,707,3,Y,47.7,53.6,Level 2,"6, 15, 28, 59, 63, X28, 170","Green, Red",Metra Electric District (ME),9:00 AM - 4:15 PM
E01510,RASMUSSEN COLLEGE - AURORA,AURORA,IL,60506,7734240721,174,166,2,N,27.3,,Level 2+,,,,
E01649,RASMUSSEN COLLEGE - ROMEOVILLE,ROMEOVILLE,IL,60446,7735346440,528,522,15,Y,,,Level 1+,66,Green,,08:00 AM-03:00 PM
E01717,CORTIVA INSTITUTE - CHICAGO,CRYSTAL LAKE,IL,60014,7735343750,426,128,57,N,,,Level 1+,"53, 54A, 80",Blue,Union Pacific Northwest (UP-NW),08:30 AM-03:30 PM
E01865,RASMUSSEN COLLEGE - MOKENA,MOKENA,IL,60448,7735347275,534,505,16,Y,45.2,91.5,Level 1+,"20, 49, 126","Blue, Green",,7:00 am-3:00 pm
E02023,VATTEROTT COLLEGE - FAIRVIEW HEIGHTS,FAIRVIEW HEIGHTS,IL,62208,7735347600,580,502,8,Y,,,Level 1,"9, 49, 50, 126",Blue,,8:45 AM - 4:15 PM
