School ID,School Name,City,State,Zip,Phone,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,Graduation Rate School,College Enrollment Rate School
E00254,LMU - LOYOLA LAW SCHOOL,LOS ANGELES,CA,90015,7738621449,29,355,404,363,92.8,84.7
E00341,STANFORD UNIVERSITY - STANFORD LAW SCHOO,STANFORD,CA,94305,7738261137,91,383,423,366,,12.5
E00374,UNIV OF CALIFORNIA LOS ANG SCH MED,LOS ANGELES,CA,90095,7734346300,70,377,402,370,0,18.8
E00375,UNIV OF CALIFORNIA LOS ANG DENTAL,LOS ANGELES,CA,90095,7735353669,7,414,401,359,,
E00480,WHITTIER COLLEGE - COLLEGE OF LAW,COSTA MESA,CA,92626,7736972216,44,390,433,384,,80
E00554,ANTIOCH UNIV/LOS ANGELES,CULVER CITY,CA,90230,7735352590,112,332,557,316,,
E00556,ANTIOCH UNIV/SANTA BARBARA,SANTA BARBARA,CA,93101,7735352565,159,522,574,525,,
E00727,INSTITUTE FOR BUSINESS & TECHNOLOGY - NA,RANCHO CORDOVA,CA,95670,7735355720,18,417,418,411,,
E00914,PLATT COLLEGE,ONTARIO,CA,91764,7738260370,130,624,604,628,,
E00959,PLATT COLLEGE - ANAHEIM,ANAHEIM,CA,92806,7735352636,16,395,400,387,,
E00961,TRINITY INTERNATIONAL UNIV-CA,SANTA ANA,CA,92705,7735356416,62,409,393,392,,
E01182,KAPLAN COLLEGE - PALM SPRINGS,PALM SPRINGS,CA,92262,7736511221,53,394,384,378,,
E01191,KAPLAN COLLEGE - BAKERSFIELD,BAKERSFIELD,CA,93304,7735354225,58,374,375,362,94.2,58.5
E01197,KAPLAN COLLEGE - FRESNO,CLOVIS,CA,93612,7735340034,85,423,438,432,95.3,87.7
E01285,KAPLAN COLLEGE - RIVERSIDE,RIVERSIDE,CA,92507,7735341789,48,404,449,416,,
E01713,CAREER CARE INSTITUTE - VENTURA,VENTURA,CA,93001,7735349750,76,353,358,340,85.4,44.8
E01826,UNITED EDUCATION INSTITUTE - ONTARIO,ONTARIO,CA,91764,7735793470,50,375,388,385,,
E01827,UNITED EDUCATION INSTITUTE - ENCINO,ENCINO,CA,91316,7735346602,40,403,392,405,,
E01841,KAPLAN COLLEGE - CHULA VISTA,CHULA VISTA,CA,91910,7733942848,69,408,390,390,90.3,85.7
E01882,EVEREST COLLEGE - SANTA ANA,SANTA ANA,CA,92701,7735353975,42,373,370,384,,
E01886,UNITED EDUCATION INSTITUTE - CHULA VISTA,CHULA VISTA,CA,91910,7735348510,60,391,391,394,,
E01887,UNITED EDUCATION INSTITUTE - EL MONTE,EL MONTE,CA,91731,3124454680,92,473,483,479,86.4,88.4
E01888,UNITED EDUCATION INSTITUTE - ANAHEIM,ANAHEIM,CA,92801,7732916517,s,s,s,s,,39.3
E01928,UNITED EDUCATION INSTITUTE - UEI COLLEGE,SAN MARCOS,CA,92069,7735343954,s,s,s,s,97.8,93.4
E01947,CAREER CARE INSTITUTE - MORENO VALLEY,MORENO VALLEY,CA,92553,7735342591,79,319,512,357,,
E01977,UEI COLLEGE-RIVERSIDE,RIVERSIDE,CA,92507,7735354334,s,s,s,s,77.9,57.8
E02024,MEDIATECH INSTITUTE - OCEANSIDE,OCEANSIDE,CA,92054,7735358351,263,465,493,461,71,64.2
E02028,UNITED EDUCATION INSTITUTE - UEI COLLEGE,STOCKTON,CA,95207,7732799826,54,492,465,467,,
E02077,WESTMED COLLEGE - MERCED,MERCED,CA,95340,3128351863,94,509,490,523,,
E02091,NCP COLLEGE OF NURSING - HAYWARD CAMPUS,HAYWARD,CA,94541,7735346925,104,496,563,518,,
E02113,PAUL MITCHELL THE SCHOOL-COSTA MESA,COSTA MESA,CA,92626,7735354300,114,537,590,550,87.5,56.6
E02116,PAUL MITCHELL THE SCHOOL - SAN DIEGO,SAN DIEGO,CA,92101,7735346400,66,517,533,515,97.6,76.7
E02133,PLATT COLLEGE - RIVERSIDE,RIVERSIDE,CA,92507,7736266988,103,468,492,459,,14.9
E02208,ADVANCE BEAUTY COLLEGE - LAGUNA HILLS,LAGUNA HILLS,CA,92653,7735351590,127,572,594,592,86.1,61.5
E40398,HUSSIAN SCHOOL OF ART-RELATIVITY CAMPUS,LOS ANGELES,CA,90017,3124555425,144,528,553,533,,
E40424,UEI COLLEGE - BAKERSFIELD,BAKERSFIELD,CA,93308,7735350585,62,390,399,381,,
G01120,AMER BAPT SEM OF THE WEST-BERKELEY,BERKELEY,CA,94704,7735359025,336,429,449,428,,
G01165,CHURCH DIV SCH OF THE PACIFIC,BERKELEY,CA,94709,7739455025,84,416,426,391,,
G01169,CLAREMONT GRADUATE UNIVERSITY,CLAREMONT,CA,91711,7735347599,s,s,s,s,71.5,84.4
G01200,FULLER THEOLOGICAL SEMINARY,PASADENA,CA,91182,7733212200,29,356,357,349,,
G01207,GRADUATE THEOLOGICAL UNION,BERKELEY,CA,94709,7732855301,s,s,s,s,,
G01256,PACIFIC SCHOOL OF RELIGION,BERKELEY,CA,94709,7735345800,s,s,s,s,,
G01279,SAN FRANCISCO THEOLOGICAL SEMINARY,SAN ANSELMO,CA,94960,7735341997,95,441,473,458,91.2,47.2
G01288,CLAREMONT SCHOOL OF THEOLOGY,CLAREMONT,CA,91711,7735885007,59,378,365,368,,16.7
G01295,SOUTHWESTERN LAW SCHOOL,LOS ANGELES,CA,90010,7736511500,72,395,416,388,,19.4
G03947,UC-HASTINGS COLLEGE OF THE LAW,SAN FRANCISCO,CA,94102,7739211315,49,376,460,391,,8.9
G04080,STARR KING SCHOOL FOR THE MINISTRY,BERKELEY,CA,94709,7735356235,151,373,387,360,,
G06976,UNIVERSITY OF SAN DIEGO - SCHOOL OF LAW,SAN DIEGO,CA,92110,7735346125,s,s,s,s,,
G08846,WRIGHT INSTITUTE,BERKELEY,CA,94704,7734172045,832,679,735,682,,
G10013,ALLIANT INTERNATIONAL UNIVERSITY - LOS A,ALHAMBRA,CA,91803,7735343470,167,443,489,442,,
G10333,JESUIT SCHOOL OF THEOLOGY - BERKELEY,BERKELEY,CA,94709,7735844300,25,370,349,351,,
G10441,PARDEE RAND GRADUATE SCHOOL,SANTA MONICA,CA,90407,7735352560,81,469,472,475,,
G11792,FRANCISCAN SCHOOL OF THEOLOGY,OCEANSIDE,CA,92057,7735352690,264,407,440,393,,
G11881,ALLIANT INTERNATIONAL UNIVERSITY - SAN F,SAN FRANCISCO,CA,94133,7735359724,131,414,425,400,71.3,67.1
G13103,CALIFORNIA WESTERN SCHOOL OF LAW,SAN DIEGO,CA,92101,3124555446,42,429,404,420,,
G20961,FIELDING GRADUATE UNIVERSITY,SANTA BARBARA,CA,93105,3124555434,66,336,378,344,,
G21206,SAYBROOK GRADUATE SCHOOL,SAN FRANCISCO,CA,94111,3122257400,73,391,395,382,85.7,81.6
G22220,AMERICAN FILM INSTITUTE,LOS ANGELES,CA,90027,7739227542,14,389,371,335,,
G22249,STANFORD UNIVERSITY - GRADUATE SCHOOL OF,STANFORD,CA,94305,7735349710,78,412,581,431,81.1,79.6
G22372,PHILLIPS GRADUATE INSTITUTE,CHATSWORTH,CA,91311,7735345490,26,368,436,352,,
G22676,INSTITUTE OF TRANSPERSONAL PSYCHLGY,PALO ALTO,CA,94303,7739788680,77,405,423,384,,7.4
G22768,WESTMINSTER SEMINARY CALIFORNIA,ESCONDIDO,CA,92027,7734133090,56,498,440,477,,
G24552,STANFORD UNIVERSITY - SCHOOL OF MEDICINE,STANFORD,CA,94305,7735347812,30,527,508,512,21.4,
G25111,ALLIANT INTERNATIONAL UNIVERSITY - FRESN,FRESNO,CA,93727,7739022487,33,350,337,345,,
G31268,PACIFICA GRADUATE INSTITUTE,CARPINTERIA,CA,93013,7735352715,121,345,517,343,,
G32883,ACAD CHINESE CULTURE & HEALTH SCIS,OAKLAND,CA,94512,7735354945,84,408,384,403,71.7,47.4
G35924,IRELL & MANELLA GRADUATE SCHOOL OF BIOLO,DUARTE,CA,91010,7735355672,9,458,416,429,,
G38533,KECK GRADUATE INSTITUTE OF APPLIED LIFE,CLAREMONT,CA,91711,7735353350,335,423,423,411,,
G41004,TAFT UNIVERSITY SYSTEM (THE),SANTA ANA,CA,92704,7735350551,36,426,403,426,,
G41555,"ACADEMY FOR JEWISH RELIGION, CALIFORNIA",LOS ANGELES,CA,90024,7735357021,83,399,418,390,1.7,5.1
G42174,HIGH TECH HIGH GRADUATE SCHOOL OF EDUCAT,SAN DIEGO,CA,92106,7735352575,154,370,379,359,,
1111,ALLAN HANCOCK COLLEGE,SANTA MARIA,CA,93454,7735347300,191,395,382,376,,
1113,ANTELOPE VALLEY COLLEGE,LANCASTER,CA,93536,7735355115,270,444,441,430,62.6,34.4
1116,ART CENTER COLLEGE OF DESIGN,PASADENA,CA,91103,3129499400,61,409,424,403,66.7,61.4
1117,AZUSA PACIFIC UNIVERSITY,AZUSA,CA,91702,7739280480,27,406,379,408,,
1118,BAKERSFIELD COLLEGE,BAKERSFIELD,CA,93305,3126839695,49,374,384,374,,
1119,BARSTOW COMMUNITY COLLEGE,BARSTOW,CA,92311,7735347130,41,384,390,370,,
1122,BIOLA UNIVERSITY,LA MIRADA,CA,90639,7739388578,s,s,s,s,,
1124,CABRILLO COLLEGE,APTOS,CA,95003,7735353085,s,s,s,s,,
1125,CALIFORNIA BAPTIST UNIVERSITY,RIVERSIDE,CA,92504,7735355625,12,416,403,381,,
1127,CALIFORNIA COLLEGE OF THE ARTS,SAN FRANCISCO,CA,94107,7735352763,32,371,368,370,,
1131,CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,91125,7735340146,s,s,s,s,85.4,80.4
1132,CALIFORNIA INSTITUTE OF THE ARTS,VALENCIA,CA,91355,7735359300,131,370,390,358,89.2,83.6
1133,CALIFORNIA LUTHERAN UNIVERSITY,THOUSAND OAKS,CA,91360,7732385330,261,577,575,592,82.6,64.9
1134,CALIFORNIA MARITIME ACADEMY,VALLEJO,CA,94590,7735351825,531,566,564,577,,
1137,CALIF STATE UNIV-FULLERTON,FULLERTON,CA,92831,7735350040,66,396,398,402,,
1138,"CALIFORNIA STATE UNIVERSITY, EAST BAY",HAYWARD,CA,94542,7737210858,75,433,433,411,,
1139,CALIF STATE UNIV-LONG BEACH,LONG BEACH,CA,90840,7737618960,35,401,369,351,85.2,72
1140,CALIF STATE UNIV-LOS ANGELES,LOS ANGELES,CA,90032,7733586800,111,473,506,467,78.1,62.3
1141,"CALIF STATE UNIV, DOMINGUEZ HILLS",CARSON,CA,90747,7732786895,s,s,s,s,,
1142,CALIF STATE UNIV SAN BERNARDINO,SAN BERNARDINO,CA,92407,7735348440,43,356,379,361,,
1143,CAL POLY STATE UNIVERSITY,SAN LUIS OBISPO,CA,93407,7735355300,48,354,357,373,,
1144,CALIF STATE POLYTECHNIC UNIV POMONA,POMONA,CA,91768,7735353160,375,461,514,455,71.4,44.8
1146,CALIF STATE UNIV - CHICO,CHICO,CA,95929,7733412260,51,373,379,376,28.6,18.6
1147,CALIF STATE UNIV - FRESNO,FRESNO,CA,93740,7739022487,73,405,421,395,,
1149,HUMBOLDT STATE UNIVERSITY,ARCATA,CA,95521,7735351350,70,432,446,448,84.6,78.3
1150,CALIF STATE UNIV-SACRAMENTO,SACRAMENTO,CA,95819,7735344135,48,369,369,357,,
1151,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,92182,7733586100,31,358,351,345,75.2,53.2
1153,CALIF STATE UNIV-NORTHRIDGE,NORTHRIDGE,CA,91330,7736905500,29,357,318,333,,66.7
1154,SAN FRANCISCO STATE UNIVERSITY,SAN FRANCISCO,CA,94132,7735345100,54,413,399,398,88.8,73.4
1155,SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,95192,7735357860,s,s,s,s,,
1156,SONOMA STATE UNIVERSITY,ROHNERT PARK,CA,94928,7735354600,33,354,366,342,,
1157,CALIF STATE UNIV-STANISLAUS,TURLOCK,CA,95382,7735214399,56,360,353,364,,
1161,CERRITOS COLLEGE,NORWALK,CA,90650,7735342045,20,354,360,385,,
1162,CHABOT COLLEGE,HAYWARD,CA,94545,7735357215,214,458,474,442,,
1163,CHAFFEY COLLEGE,RANCHO CUCAMONGA,CA,91737,7735346176,66,396,402,404,56.3,20.7
1164,CHAPMAN UNIVERSITY,ORANGE,CA,92866,7735355517,61,369,361,355,,
1166,CITRUS COLLEGE,GLENDORA,CA,91741,7735345180,101,605,654,588,3.1,0
1170,CLAREMONT MCKENNA COLLEGE,CLAREMONT,CA,91711,7735351804,60,408,446,416,,
1171,HARVEY MUDD COLLEGE,CLAREMONT,CA,91711,7732422212,55,362,376,367,82.4,76.9
1172,PITZER COLLEGE,CLAREMONT,CA,91711,7735354242,70,380,395,399,80.9,41
1173,POMONA COLLEGE,CLAREMONT,CA,91711,7735355460,s,s,s,s,,
1174,SCRIPPS COLLEGE,CLAREMONT,CA,91711,7735346730,7,394,357,346,,
1176,WEST HILLS COMMUNITY COLLEGE,COALINGA,CA,93210,7737159558,76,365,384,378,,
1177,COGSWELL POLYTECHNICAL COLLEGE,SUNNYVALE,CA,94089,7737228577,63,369,380,349,,
1178,COLLEGE OF MARIN,KENTFIELD,CA,94904,7734346355,94,363,378,361,,
1179,NOTRE DAME DE NAMUR UNIVERSITY,BELMONT,CA,94002,3122659925,24,400,422,402,81.7,80.5
1181,COLLEGE OF SAN MATEO,SAN MATEO,CA,94402,7738908020,228,430,456,423,82.8,56.4
B07022,THE CHICAGO SCHOOL OF PROF PSYCHOLOGY,CHICAGO,IL,60610,7735358110,56,339,349,326,,
E00377,UNIVERSITY OF CHICAGO GRADUATE,CHICAGO,IL,60637,7732520970,65,364,378,348,,
E00512,"UNIV OF CHICAGO, BOOTH SCH OF BUS",CHICAGO,IL,60637,7735348500,9,379,364,382,,
E00606,SO IL UNIV-SCHL OF DENTAL MEDICINE,ALTON,IL,62002,7735345090,34,310,324,311,,
E00773,CHICAGO KENT COLLEGE OF LAW,CHICAGO,IL,60661,7738900055,s,s,s,s,,18.2
E00784,EDUCATORS OF BEAUTY,ROCKFORD,IL,61104,7734298955,s,s,s,s,,
E00983,PACIFIC COLLEGE OF ORIENTAL MEDICINE - C,CHICAGO,IL,60601,7735346225,43,361,359,357,,
E01240,HAIR PROFESSIONALS ACADEMY OF COSMETOLOG,NAPERVILLE,IL,60563,7735346660,63,351,375,371,,
E01244,RASMUSSEN COLLEGE - ROCKFORD,ROCKFORD,IL,61108,7735350880,79,403,394,404,53.6,47.7
E01510,RASMUSSEN COLLEGE - AURORA,AURORA,IL,60506,7734240721,66,420,426,411,,27.3
E01649,RASMUSSEN COLLEGE - ROMEOVILLE,ROMEOVILLE,IL,60446,7735346440,64,399,396,391,,
E01717,CORTIVA INSTITUTE - CHICAGO,CRYSTAL LAKE,IL,60014,7735343750,62,362,378,363,,
E01865,RASMUSSEN COLLEGE - MOKENA,MOKENA,IL,60448,7735347275,28,367,356,361,91.5,45.2
E02023,VATTEROTT COLLEGE - FAIRVIEW HEIGHTS,FAIRVIEW HEIGHTS,IL,62208,7735347600,44,387,411,383,,
E02206,PAUL MITCHELL THE SCHOOL ESCANABA - PAUL,LOMBARD,IL,60148,7735342030,51,413,381,407,,
E40390,PAUL MITCHELL THE SCHOOL TINLEY PARK,TINLEY PARK,IL,60477,7735421490,76,394,400,364,67.1,65.8
G01661,CHICAGO THEOLOGICAL SEMINARY,CHICAGO,IL,60637,7735354088,47,398,416,370,,
G01682,GARRETT-EVANGELICAL THEOLOGICAL SEM,EVANSTON,IL,60201,3125631748,114,363,368,364,,16.7
G01698,JOHN MARSHALL LAW SCHOOL,CHICAGO,IL,60604,7732610994,s,s,s,s,,20.8
G01712,LUTHERAN SCHOOL OF THEOL AT CHICAGO,CHICAGO,IL,60615,7735354890,44,407,386,378,,
G01721,MCCORMICK THEOLOGICAL SEMINARY,CHICAGO,IL,60615,7735355582,52,384,385,389,,
G01723,MEADVILLE LOMBARD THEOLOGICAL SCHOOL,CHICAGO,IL,60637,7735350501,41,416,390,394,,
G01736,NORTHERN BAPTIST THEOL SEMINARY,LOMBARD,IL,60148,7735345150,67,337,361,340,,
G01765,UNIVERSITY OF ST MARY OF THE LAKE,MUNDELEIN,IL,60060,7738541188,67,387,402,375,7.7,11.4
G09232,CATHOLIC THEOLOGICAL UNION,CHICAGO,IL,60615,7735346850,39,363,371,350,,
G10141,UNIV OF CHICAGO PRITZKER SCH OF MED,CHICAGO,IL,60637,7733470200,s,s,s,s,,
G20681,ADLER UNIVERSITY,CHICAGO,IL,60602,7735356540,s,s,s,s,,
G20754,DEVRY UNIVERSITY - DOWNERS,DOWNERS GROVE,IL,60515,7735353834,9,367,369,376,,
G23192,LAKE FOREST GRAD SCHL OF MGMT,LAKE FOREST,IL,60045,7735357850,415,412,436,393,,
G25737,INSTITUTE FOR CLINICAL SOCIAL WORK,CHICAGO,IL,60605,7735354550,6,402,373,413,,
G35103,ERIKSON INSTITUTE,CHICAGO,IL,60654,7086697828,s,s,s,s,,37.8
G36843,NORTHSHORE UNIVERSITY HEALTHSYSTEM SCHOO,EVANSTON,IL,60201,7735357395,39,369,371,365,,
1628,AMERICAN ACADEMY OF ART,CHICAGO,IL,60604,7735343460,s,s,s,s,,
1633,AUGUSTANA COLLEGE,ROCK ISLAND,IL,61201,7734867161,68,373,370,356,,
1634,AURORA UNIVERSITY,AURORA,IL,60506,7735345010,54,373,381,377,,
1636,SOUTHWESTERN ILLINOIS COLLEGE,BELLEVILLE,IL,62221,7735341762,s,s,s,s,,
1638,BLACK HAWK COLLEGE,MOLINE,IL,61265,7735359230,16,366,400,368,68.7,21.8
1639,BLACKBURN COLLEGE,CARLINVILLE,IL,62626,7735426766,9,404,368,399,69.7,63.2
1640,PRAIRIE STATE COLLEGE,CHICAGO HEIGHTS,IL,60411,7735341829,78,377,359,376,,
1641,BRADLEY UNIVERSITY,PEORIA,IL,61625,7734783655,39,324,376,349,83.3,76.6
1643,SPOON RIVER COLLEGE,CANTON,IL,61520,7735352580,78,373,387,374,,
1647,CITY COLLEGES OF CHICAGO,CHICAGO,IL,60606,7735346820,33,372,355,357,,
1648,TRUMAN COLLEGE,CHICAGO,IL,60640,7735351120,80,411,464,415,83.5,74.7
1649,RICHARD J DALEY COLLEGE,CHICAGO,IL,60652,7735356215,50,393,394,382,,
1650,CITY COLLEGES OF CHICAGO-MALCOLM X,CHICAGO,IL,60612,3129999360,67,369,367,356,,24.4
1652,HAROLD WASHINGTON COLLEGE,CHICAGO,IL,60601,7738908060,81,459,480,457,,
1653,OLIVE-HARVEY COLLEGE,CHICAGO,IL,60628,7737727170,74,356,363,356,,6.8
1654,KENNEDY KING COLLEGE,CHICAGO,IL,60621,7735356250,30,361,353,367,,
1655,WRIGHT COLLEGE,CHICAGO,IL,60634,7735347500,38,386,386,376,96.2,85.2
1657,MIDWESTERN UNIVERSITY,DOWNERS GROVE,IL,60515,7735350600,s,s,s,s,,
1659,ROSALIND FRANKLIN UNIVERSITY OF MEDICINE,NORTH CHICAGO,IL,60064,7735347010,51,382,365,391,62.9,51
1663,SPERTUS COLLEGE,CHICAGO,IL,60605,7734681300,54,315,339,297,,
1664,UNIVERSITY OF ST FRANCIS,JOLIET,IL,60435,7737789455,49,314,312,339,,
1665,COLUMBIA COLLEGE,CHICAGO,IL,60605,7735344120,32,363,360,351,,
1666,CONCORDIA UNIVERSITY,RIVER FOREST,IL,60305,7735347755,34,356,376,351,69.5,60
